Dstar_OWNPV_X Dstar_OWNPV_Y Dstar_OWNPV_Z Dstar_ENDVERTEX_X Dstar_ENDVERTEX_Y Dstar_ENDVERTEX_Z D_ENDVERTEX_X D_ENDVERTEX_Y D_ENDVERTEX_Z K_PX K_PY K_PZ Pd_PX Pd_PY Pd_PZ Ps_PX Ps_PY Ps_PZ
0.5236 -0.0308 26.7978 0.522034001733 0.0597930078079 26.6635122666 0.158 -0.5757 39.5818 389.5 -1001.74 13164.2 -1252.0 -509.89 17417.68 -125.548929762 -87.2621297574 2138.24050961
0.4236 0.0217 -26.0342 0.33303793623 -0.564389466908 -4.19436669427 0.3907 -0.5174 -6.2601 -1890.66 -473.22 42362.05 85.36 -900.75 23831.47 -171.048820725 -84.0941614843 4861.4849708
0.4749 -0.0098 6.2899 0.597630792599 0.169191398445 6.18837128364 0.7674 0.1557 10.7767 -448.36 -118.46 5479.88 1313.27 -0.37 18524.1 171.538617456 -56.4950439726 2710.54995275
0.4347 -0.0332 -1.3402 0.0923082186259 -0.372909312456 9.7887098499 0.223 -0.2416 5.7073 -172.98 -1082.53 12250.06 -1255.04 -352.31 32323.56 -72.1637436061 -130.657464974 3063.62610783
0.5327 -0.0065 -0.0791 0.391775792039 0.58507969071 -5.4483668673 0.3132 -0.8764 6.6022 -541.46 -3104.71 28923.03 339.29 -868.91 3802.64 3.6386342869 -472.611099044 4205.68707526
0.4717 -0.0226 -48.4676 -0.578472942149 1.43181872809 7.09075345139 -0.2841 0.8801 -11.5457 -284.85 1026.68 48763.99 -590.19 674.7 8505.74 -89.9466754239 175.414828358 4478.34335619
0.4117 0.0053 -58.4081 0.977528754662 -0.955871794849 -45.9050554016 1.2053 -1.3898 -41.5851 2493.23 -3112.72 31233.62 115.61 -1831.3 18060.45 155.318549984 -321.884354184 3473.72273709
0.4686 -0.0156 65.2898 -2.11859173685 0.37435192577 100.100096442 -2.5506 0.3655 105.1629 -4315.52 553.36 44484.51 -1463.95 -697.07 23132.01 -376.443466335 -31.688791938 4808.92438334
0.5536 -0.0271 11.533 0.526931698992 0.350988123034 14.0653923941 0.6215 0.2815 18.3521 400.85 353.61 7065.07 491.14 -1020.19 33172.97 -22.098441372 -80.3260989222 3129.50129395
0.5536 -0.0271 11.533 2.35330574048 -1.01524815529 96.7573735039 0.6215 0.2815 18.3521 400.85 353.61 7065.07 491.14 -1020.19 33172.97 99.9824526921 -46.6644775165 4549.74231161
0.5536 -0.0271 11.533 2.44022411835 -1.08002484595 100.682026664 0.6215 0.2815 18.3521 400.85 353.61 7065.07 491.14 -1020.19 33172.97 40.7096994386 -18.3912001476 1797.97515139
0.4756 -0.0443 23.4326 0.271654913572 0.0840209262319 26.1226895613 0.1044 0.3112 28.6299 -1238.73 2832.24 30940.66 -1634.81 1147.13 12709.35 -125.456766871 164.183888342 2512.84882541
0.5173 -0.0012 -10.2623 2.01543169868 -0.0808809893057 -2.39071655396 3.462 -0.1568 4.7778 4658.01 372.79 25875.3 6500.69 -955.22 29424.66 826.063220624 -54.6159134298 3889.76743902
0.4761 -0.0284 -90.2048 0.958414627328 -0.128216387369 -102.661138566 0.0796 0.0218 -77.5618 -1849.13 1175.38 56141.13 -1330.91 -631.13 34855.67 -285.994572465 13.5755407742 8140.3263042
0.518 0.101 -120.9365 -8.07774371911 32.6927177018 -1447.92240573 2.1039 -7.2603 78.0531 -340.28 -118.88 8448.92 797.94 -1674.56 60071.75 23.850022867 -91.0626785383 2838.63960463
0.4953 -0.1194 -7.0917 -0.0715191214258 0.389621477715 -14.1671958272 0.6076 -0.9351 3.1342 140.71 -2005.03 19823.59 1990.84 -2139.45 34277.44 186.679112983 -412.936787238 5087.07482223
0.5107 -0.0327 41.5965 1.01727495962 -0.501033115503 46.5585039957 1.646 -0.8534 51.4311 2770.16 -725.48 15735.34 1994.09 -1910.99 21150.61 389.717516722 -246.257001239 3289.98867527
0.4478 -0.0105 -4.4919 0.816114203377 -1.11998826845 -10.6167867733 1.3297 -0.8526 29.7282 593.37 888.6 22143.87 -186.79 -678.49 9481.54 -24.2508161348 73.1218124699 3399.57722386
0.4457 -0.053 24.7281 0.337712074539 -0.565800314173 33.2967268218 0.3647 -0.4151 30.9213 498.41 -1990.38 32193.2 -1122.43 -1558.31 23831.38 -30.4826746805 -205.848381555 3120.38901946
0.436 -0.0825 18.8118 0.314922602763 -0.086708107698 10.5311932293 0.3326 0.1049 53.9993 -778.5 482.93 32013.6 804.79 -147.36 37190.77 68.0923211337 29.8953932607 4393.8807268
0.464 -0.0236 4.4431 2.32818235644 -1.39535204954 -97.000289664 0.0437 -0.4328 17.823 148.2 646.38 6416.57 -672.39 -424.75 19813.37 -82.6027058313 23.8760367651 3628.30130919
0.4372 -0.0377 -50.2749 0.0557236568593 0.828755284751 -26.3127871031 -0.0764 1.1252 -19.6335 -998.7 3917.88 92976.07 -2187.45 3192.0 68692.93 -224.218517111 591.821927384 13376.5170898
0.3657 -0.0265 -88.6904 0.362546244527 0.0839188376121 -86.6404590779 0.3941 0.4368 -80.4345 882.07 2461.36 34834.58 -496.62 1681.02 38206.54 38.7561069641 324.234428975 5543.08003148
0.3657 -0.0265 -88.6904 0.474540880256 1.28391532502 -65.5151140363 0.3941 0.4368 -80.4345 882.07 2461.36 34834.58 -496.62 1681.02 38206.54 41.2471247589 278.877763282 5517.10217033
0.4612 -0.0306 90.4514 0.513725602545 0.0227997667553 91.6968182709 0.6498 0.1695 94.4311 912.85 2021.04 21693.6 1020.63 65.71 16746.43 162.062876432 117.718399595 2680.24566055
0.4853 -0.0186 -10.23 0.941305009454 0.116954198978 15.6561183592 0.6816 0.0469 -0.6715 591.14 -722.67 17207.64 -100.92 855.16 13676.36 -43.8829813562 -28.1891135154 2752.16582593
0.4777 -0.086 22.6835 3.2951955464 -0.465643353507 59.1489931217 2.0271 -0.3089 43.5307 2400.71 48.22 20722.61 2873.54 -728.74 44464.79 534.276137242 -82.50337578 6412.43197504
0.4348 -0.0635 4.2517 -0.530101735774 0.701820823147 39.1356236505 -0.4499 0.6022 34.0153 -516.46 -492.69 10682.32 23.49 1114.54 20369.98 -73.8728604351 24.7671965032 2276.35698487
0.4348 -0.0635 4.2517 0.0403267225397 -0.00820671982432 3.5396240044 -0.4499 0.6022 34.0153 -516.46 -492.69 10682.32 23.49 1114.54 20369.98 29.9703056962 -16.0445411551 1960.79533393
0.4801 -0.0239 47.55 -1.62685386544 -0.093511847318 63.3900736786 -2.262 -0.1832 67.4756 -2650.07 442.98 17559.03 -3919.57 -1381.42 24691.12 -494.643332528 -82.0295554502 3456.0078301
0.4617 -0.0127 -38.8493 0.65713743697 -0.569132669849 -8.0721335701 0.6438 -0.5317 -13.8838 -223.23 -1023.31 21091.31 371.95 555.03 26517.62 93.6705356572 -31.7725562436 4774.57555134
0.4617 -0.0127 -38.8493 0.615528256612 -0.437328281875 -22.7263608228 0.6438 -0.5317 -13.8838 -223.23 -1023.31 21091.31 371.95 555.03 26517.62 92.2751680409 -44.3858532546 4845.72825956
0.5471 -0.0821 -47.9113 0.555235491137 0.0788798261635 -49.588984148 0.4132 0.0773 -45.403 224.87 -261.3 3026.51 -1082.28 254.78 22327.21 -25.0089240639 -54.3072687615 2314.02772548
0.4981 -0.0365 4.6565 1.25325665635 -0.297456660193 26.4335640127 0.6814 0.0232 13.4825 1494.4 -1570.32 32346.55 426.18 492.79 11223.62 121.92691253 -39.5203113312 2639.9003453
0.4981 -0.0365 4.6565 -0.0623477530942 0.440710148907 -3.42118863745 0.6814 0.0232 13.4825 1494.4 -1570.32 32346.55 426.18 492.79 11223.62 125.489842335 -52.1995858627 2648.16450116
0.458 -0.0178 -15.6377 -0.0243978395993 -0.420434261064 -2.08629884592 0.2891 -0.1181 -11.1573 -598.38 -1388.15 15912.6 -657.42 185.98 20260.38 -83.0443273409 -39.854486181 2979.00625117
0.458 -0.0178 -15.6377 2.90252980971 2.38619572586 -86.4678653963 0.2891 -0.1181 -11.1573 -598.38 -1388.15 15912.6 -657.42 185.98 20260.38 -71.5910987979 -45.5564274756 2996.35867013
0.4662 -0.0168 -42.3606 -0.66331737598 -1.15231214257 -31.5897634433 -0.3816 -0.9124 -34.0316 -4033.39 -3247.03 39739.01 -3384.81 -2948.03 24005.62 -457.324650292 -369.61560137 4111.96946869
0.4639 -0.0757 40.3513 -0.0224028022203 -0.189662257428 50.1582124329 0.119 -0.1552 47.3216 -1682.95 259.76 19866.85 -454.77 -792.26 22949.98 -168.190852579 -25.6703579941 2701.87844707
0.4078 -0.0507 9.0143 -0.00886811157929 0.52317740087 0.387159471611 0.4163 -1.8466 42.1708 571.17 -924.58 8403.5 -192.81 -1132.46 27889.19 39.6788619929 -205.083979694 4505.9507957
0.4301 -0.0793 57.9792 0.147288180027 0.744751623795 79.556911029 0.3367 0.1158 66.6193 596.47 949.98 12336.38 -986.97 348.96 14406.89 -8.92127390603 80.9200375932 2349.54001049
0.4301 -0.0793 57.9792 0.439247399191 -0.225170854944 59.6100803799 0.3367 0.1158 66.6193 596.47 949.98 12336.38 -986.97 348.96 14406.89 27.2096144995 85.5915885758 2580.14732931
0.499 -0.0328 -71.2865 0.697359703943 0.854674856792 -62.0682466532 0.7228 0.8871 -61.5535 1608.25 1137.66 16892.73 -477.66 306.56 5623.1 63.6839369962 148.734775255 1924.84201422
0.4904 -0.046 17.5496 0.504765445443 -0.0709011370982 17.4918714267 3.2269 1.1855 37.319 7581.52 4358.93 56710.2 3277.81 651.92 22381.81 670.870328307 308.915200538 5101.18982061
0.4734 -0.0389 37.9434 1.49915110262 -0.390008240938 28.1025130335 -0.2638 -2.426 76.5507 205.69 -624.53 17589.57 -1364.91 -713.87 14259.1 -48.7630355522 -41.7666937447 2929.00638336
0.4543 -0.0267 56.9719 0.574553209272 0.0272086572851 58.1356590815 0.8323 -0.0476 64.0262 780.3 646.32 16328.77 476.61 -1009.88 12326.17 81.5114823768 -53.7826029784 1828.27374434
0.4543 -0.0267 56.9719 0.912562442832 -0.0703826310501 65.8452679918 0.8323 -0.0476 64.0262 780.3 646.32 16328.77 476.61 -1009.88 12326.17 59.9986189655 22.3092948711 2195.39698688
0.5385 -0.0486 -1.2978 0.652890808688 0.278767962385 8.72510977387 0.6449 -0.0421 2.2321 -653.41 606.65 5667.79 677.09 442.49 15353.18 53.2031789906 131.33886887 2412.85243299
